iter	Passed	Remaining
905	1213	125
906	1214	124
907	1216	123
908	1217	121
909	1218	120
910	1218	119
911	1219	117
912	1221	116
913	1222	114
914	1222	113
915	1223	112
916	1224	110
917	1225	109
918	1226	108
919	1227	106
920	1228	105
921	1230	104
922	1231	102
923	1232	101
924	1232	99
925	1233	98
926	1234	97
927	1235	95
928	1236	94
929	1237	93
930	1237	91
931	1238	90
932	1239	89
933	1240	87
934	1242	86
935	1243	85
936	1244	83
937	1246	82
938	1246	80
939	1247	79
940	1248	78
941	1249	76
942	1250	75
943	1251	74
944	1252	72
945	1253	71
946	1254	70
947	1255	68
948	1256	67
949	1256	66
950	1259	64
951	1260	63
952	1261	62
953	1262	60
954	1263	59
955	1264	58
956	1265	56
957	1267	55
958	1267	54
959	1268	52
960	1269	51
961	1270	50
962	1271	48
963	1272	47
964	1274	46
965	1275	44
966	1276	43
967	1277	42
968	1278	40
969	1279	39
970	1280	38
971	1281	36
972	1281	35
973	1282	34
974	1283	32
975	1284	31
976	1284	30
977	1285	28
978	1286	27
979	1287	26
980	1288	24
981	1290	23
982	1290	22
983	1291	21
984	1292	19
985	1293	18
986	1294	17
987	1296	15
988	1297	14
989	1298	13
990	1298	11
991	1299	10
992	1300	9
993	1301	7
994	1303	6
995	1304	5
996	1305	3
997	1306	2
998	1307	1
999	1308	0
